"#","Bug","Steps to reproduce","What happens (bug)","What we expected to happen","Reference (for automation QA team)","Notes"
"1","Local Office ECT Settings — Benefits Multiplier silent write-failure: API returns success:true but field-level value is never persisted (Historical Subrental in same request DOES persist)","1. Navigate to /navigator/locations/1604/settings/local-office. 2. Click ECT Settings tab. 3. Confirm baseline: Benefits Multiplier = 0.0%, Historical Subrental % = 0.0%, Save buttons disabled. 4. Triple-click BM input → type 11.0% → Tab. 5. Triple-click HS input → type 8.0% → Tab. 6. Confirm Fixed Costs Save button is enabled. 7. Click Fixed Costs Save — POST to /ect-settings returns HTTP 200 + {success:true}. 8. Save button disables. 9. Switch to another tab then back — BM reverts to 0.0%, HS stays 8.0%. 10. Hard reload confirms: BM = 0.0% (UNCHANGED), HS = 8.0% (PERSISTED).","Server accepts the BM value silently (no validation error, no 4xx/5xx). Returns 200 + {success:true}. Database is NOT updated for BenefitsMultiplier. Subsequent reads return the prior value. User has no visible signal that their save did not take effect.","POST to /ect-settings with benefitMultiplier:0.11 and HTTP 200 + {success:true} must persist 0.11 to the database. After hard reload Benefits Multiplier must show 11.0%.","BUG-LOC-ECT-001","Field-isolated silent write-failure. The database row never receives the BM update despite a 200/success response. Sibling Historical Subrental % in the same request body DOES persist — proves this is BM-specific. Recommended fix: check if BenefitsMultiplier is excluded from the server-side UPDATE statement."
"2","Location Settings → Notes — Delete row UI does NOT persist deletion when textarea value is not explicitly cleared first; Save dispatches a new history row but col 69 retains the pre-delete content","1. Navigate to /navigator/locations/1604/settings/location. 2. Activate the Notes sub-tab. 3. Pre-condition: have ≥1 saved note with content. 4. Click Delete button on the row with content — row disappears from DOM, Save enables. 5. Click Save. The Save Changes alertdialog opens. 6. Click Ok. Dialog closes; Save disables; UI shows No Notes Available. 7. Switch to Location Management History tab. 8. Observe: Modified On reflects this save BUT col 69 Notes STILL contains the pre-delete content — deletion did NOT persist.","Save round-trip succeeds (new history row, Save button disables), but the persisted FormArray state on the server is unchanged from before Delete. Reloading shows deleted row(s) still present. The dirty flag fires on Delete click but FormArray value array is not updated — save dispatches the OLD payload.","Delete + Save should persist the deletion. After save completion, history col 69 should be empty (if all rows deleted) or contain only remaining rows content.","BUG-LOC-NTS-001","Confirmed reproducible. Workaround: explicitly set textarea.value to empty string + dispatch input event BEFORE clicking Delete (confirmed working 2026-05-11). Severity high: user-facing feature behaving incorrectly; user thinks they deleted a note but it persists; every Notes deletion test needs the workaround pattern."
"3","Local Office Settings — ECT Labor Cost cell silently coerces non-numeric input to 0.00 with Save enabled when user clears the cell first; data corruption risk on save","1. Navigate to /navigator/locations/1604/settings/local-office. 2. Click ECT Settings tab, scroll to Labor Cost Assumptions table. 3. Note current value in any Labor Cost cell (e.g. Audio - Operate/Show = 37.10). 4. Triple-click the cell to select all text. 5. Press Delete to clear the cell. 6. Type abc (non-numeric text). 7. Press Tab. 8. Observe: cell value silently becomes 0.00; no aria-invalid; no validation error; Save button is ENABLED. 9. Saving at this point would persist 0.00 over the user's original Labor Cost value.","Triple-click + Delete + type abc + Tab causes the Labor Cost cell to silently change to 0.00 with no aria-invalid, no validation error, Save becomes enabled. If user saves, 0.00 overwrites the original Labor Cost. Bug is asymmetric: type-without-clearing is correctly rejected; clear-then-type-non-numeric is silently coerced.","When user clears a Labor Cost cell and types non-numeric text, the field must either revert to its original value or show aria-invalid=true, and Save must stay disabled. Field must NOT silently change to 0.00 with Save enabled.","BUG-LOS-ECT-010","Severity high — data corruption risk: user loses original Labor Cost value with no visible warning. The asymmetric trigger (clear-then-type vs type-without-clearing) is non-obvious. Workaround: NEVER clear a Labor Cost cell first — always overtype the existing value (which the numeric mask correctly intercepts)."
"4","Local Office Settings — Room Active toggle click does not dirty the Angular form; Save button stays disabled; inactive toggle never persists to server (silent data loss)","1. Navigate to /navigator/locations/1604/settings/local-office (Basic Information tab). 2. Confirm a room row exists and is Active. 3. Click the Active checkmark cell for the room row — UI visibly flips from checkmark to empty (room shows Inactive). 4. Poll for Save to enable (5s timeout) — Save button stays disabled throughout. 5. Framework skips the disabled-button click. 6. Reload Basic Information. 7. Read the room row state — room is still Active (server state unchanged).","Toggle click visibly updates the UI (checkmark disappears, isRoomActive() returns false), but Angular FormGroup dirty state is not set. Save button stays disabled. Framework skips the disabled-button click. Reload restores server's previous state (Active). User perspective: the toggle appeared to work, but was never saved.","Toggling the Active/Inactive cell must mark the Angular FormGroup as dirty, enabling Save. Click Save → Save Changes dialog → confirm → POST to /local-office API → server persists inactive state → reload shows the room as Inactive.","BUG-LOC-LOS-001","Systemic issue with custom toggle cells: the Active cell toggle click handler does not wire FormGroup.markAsDirty(). Other toggle patterns that DO dirty the form suggest the team has a working pattern — just not applied here. Recommend audit of all custom toggle cells in Local Office Basic Information panel."
"5","Location Management History pagination bar collapses to compact 2-button mode after navigating back to page 1; Go to first/last buttons vanish from DOM","1. Navigate to /navigator/locations/1604/settings/location. 2. Click Location Management History tab. 3. Observe pagination bar: 4 buttons visible (Go to first/previous/next/last page) + page indicator 1 / 151. 4. Click Go to next page — table paginates to page 2; still 4 buttons visible. 5. Click Go to previous page — table returns to page 1. 6. Observe: pagination bar has collapsed to 2-button mode; Go to first page AND Go to last page buttons are removed from the DOM.","After navigating page 1 → Next → page 2 → Previous → page 1, the pagination bar re-renders in compact 2-button mode, removing Go to first/last page buttons from the DOM. Fresh tab load shows all 4 buttons correctly — only the post-navigation-back state triggers the collapse.","All 4 pagination buttons (first/previous/next/last) must remain in the DOM on every page. Only their enabled/disabled state should change. On page 1: first + previous disabled, next + last enabled.","BUG-LOC-MGH-001","Related to BUG-LS-001 (missing data-testid on pagination buttons) — both affect the shared pagination component library. Recommend Encore team investigate the pagination component CSS or conditional-render logic — likely an unintended CSS rule fires when page indicator re-renders from 2/N back to 1/N."
"6","Unknown routes under /locations/{id}/ silently redirect to /home with no 404 or error","1. Log in to Navigator Cloud at https://cloudapps-e2e.encoreglobal.com/navigator with access to location 1604. 2. In the address bar, navigate directly to https://cloudapps-e2e.encoreglobal.com/navigator/locations/1604/basic-info (paste URL, press Enter). 3. Observe: page briefly shows an alert/notice, then silently redirects to /navigator/locations/1604/home. 4. No error message, no toast, no banner — URL changes to /home and the Home dashboard renders. 5. Note: Basic Information is a TAB on /settings/location, not its own route.","Page shows a brief alert-only DOM state, then URL changes to /navigator/locations/1604/home and the Home dashboard renders. No error, no toast, no banner. Silent redirect. Behavior consistent for /basic-info and likely any unregistered route under /locations/{id}/.","Router behavior for unknown routes should be: (a) 404 page with clear messaging, OR (b) redirect to /home WITH a visible notice/toast explaining why. Silent redirect is indistinguishable from success, which is confusing for users who pasted a wrong URL.","BUG-LOC-BI-001","User-confirmed: redirect with no error when accessing location via direct URL. Basic Information is a TAB on /settings/location — /basic-info was likely never a registered route. Redirect is client-side (Angular router guard), not a server 302. Bug affects agents, automation, and users who paste direct URLs. || 2026-06-01 user re-observation: the page currently TRIES TO LOAD the route AND shows an error message — this may differ from the originally-filed silent-redirect-to-/home (no-error) behaviour; re-verify current behaviour on e2e + nav2."
"7","Enable Multiday Pricing toggle on Local Information tab produces NO Location Management History row","1. Navigate to /navigator/locations/1604/settings/location (Local Information tab). 2. Toggle the Enable Multiday Pricing checkbox. 3. Click Save, confirm Save Changes dialog, wait for save to persist. 4. Click Location Management History tab. 5. Sort by Modified On descending. 6. Observe top rows: the EnableMultidayPricing toggle change has NO corresponding history row in any of the 87 columns. 7. Compare: saving any OTHER Local Information field (e.g., Calculate LDW) DOES produce a history row.","Enable Multiday Pricing save completes successfully (API returns 200, toggle persists after reload) but NO Location Management History row is created. No column in the 87-column schema carries the EnableMultidayPricing value. Users have no audit record of who changed multiday pricing or when.","Saving a change to Enable Multiday Pricing should produce a Location Management History row with Modified By/On populated and the new boolean reflected in a dedicated column — similar to Calculate LDW at col 22, Enable IDC Billing at col 30.","BUG-HIS-001","Similar audit-trail gaps exist for Merchant currency (BUG-HIS-002) and Auto Add-On checkboxes. Recommend Encore team audit the server-side save handler that writes Location Management History rows — the exclusion list likely omits modern toggles added after the initial 87-column schema was fixed."
"8","Merchant currency selection change on Currency tab produces NO Location Management History row","1. Navigate to /navigator/locations/1604/settings/location. 2. Click Currency tab. 3. Locate the Merchant Currency dropdown and change its value. 4. Click Save, confirm Save Changes dialog, wait for save to persist. 5. Click Location Management History tab. 6. Sort by Modified On descending. 7. Observe: the Merchant Currency change has NO corresponding history row. No column among the 87 carries the merchant currency value. Compare: any OTHER Currency-tab field save DOES produce a history row.","Merchant currency save completes successfully (API returns 200, dropdown persists after reload) but NO Location Management History row is created for the merchant-currency change. Audit-trail has no record of who changed merchant currency or when.","Saving a change to Merchant Currency dropdown on Currency tab should produce a Location Management History row reflecting the new merchant currency, following the same pattern as the two existing Currency columns (col 6 and col 64) that track pricing-side currency values.","BUG-HIS-002","Pairs with BUG-HIS-001 (EnableMultidayPricing) and Auto Add-On audit-trail gap. Same recommendation: Encore team should audit the server-side save handler exclusion list for Location Management History writes. Multiple tabs' modern fields have silently slipped out of audit coverage."
"9","Local Office Settings — ECT Tab Commission structure link href is broken: typo commissons, cross-domain (navigator.psav.com vs cloudapps-e2e.encoreglobal.com), stray :1604/ colon","1. Navigate to /navigator/locations/1604/settings/local-office. 2. Click the ECT Settings tab. 3. Locate the Edit/View : Commission structure link in the tab content. 4. Inspect the href attribute of the link element via DOM. 5. Observed href: https://navigator.psav.com/#/commissons/commissionstier/:1604/ — three defects: (1) typo commissons (missing i, should be commissions), (2) cross-domain (navigator.psav.com vs cloudapps-e2e.encoreglobal.com), (3) stray colon prefix on the office id segment (:1604/).","The href attribute is https://navigator.psav.com/#/commissons/commissionstier/:1604/ — typo commissons, different domain, and stray :1604/ colon. The link is rendered and clickable but its destination is broken.","The Commission structure link href should route to a working page on the current Encore domain (cloudapps-e2e.encoreglobal.com) with the path correctly spelled commissions and an office-id segment without a stray colon prefix.","BUG-LOS-ECT-001","Bug filing on href-pattern evidence (DOM-verified). Click outcome not verified during audit per external-URL safety policy. Three independent defects in the link href suggest this is a stale link never updated to the current Encore Navigator URL scheme. Severity medium: user-facing broken navigation but no data-loss."
"10","Missing data-testid on shared UI components: pagination, sort menus, dialogs","1. Navigate to /navigator/locations/1604/settings/location. 2. Click Location Management History tab. 3. Run: document.querySelectorAll('[data-testid]') inside the history tab content — only 2 testids exist out of 20+ interactive elements. 4. Pagination buttons (Go to first/previous/next/last page) — data-testid=null on all. 5. Rows-per-page combobox — data-testid=null. 6. Click sortable column header → sort menu appears — data-testid=null on menu and items. 7. Trigger Unsaved Changes alertdialog — data-testid=null on dialog and all buttons. 8. Trigger Save Changes alertdialog — data-testid=null on dialog and buttons.","All shared UI components (pagination, sort menus, dialogs and their buttons) render with role and aria-label attributes only. No data-testid exists on any of them. Tests must use fragile selectors that break on text changes, i18n, or DOM restructuring.","All interactive shared UI components should have stable data-testid attributes. Suggested patterns: pagination-btn-first/previous/next/last, sort-menu, sort-menu-item-ascending/descending, dialog-save-changes-btn-ok/cancel, dialog-unsaved-changes-btn-stay/discard.","BUG-LS-001","Systematic gap in the Encore shared component library (Radix UI wrappers). Tab components and form checkboxes have consistent data-testid naming. Pagination, sort, and dialog components do not. Likely a different team/library owns these shared components."
