# Working_Elements.csv - EspoCRM Working screen/detail view locators
# Application: EspoCRM (https://demo.us.espocrm.com/)
# Last Updated: 2026-02-09

Element Name,Locator

# === Modal/Popup Actions (appear over working area) ===
# "Later" or dismiss button - modal popup, dismisses notification or reminder
btnLater,.modal-dialog button[data-dismiss='modal']
# Confirm button - modal dialog, confirms action
btnConfirm,.modal-dialog button[data-action='confirm']
# Cancel button - modal dialog, cancels current action
btnCancel,.modal-dialog button[data-action='cancel']

# === Record Detail View ===
# Detail view container - main record detail area
divDetailView,.detail
# Edit button - detail view header, switches to edit mode
btnEdit,button[data-action='edit']
# Save button - detail view edit mode, saves changes
btnSave,button[data-action='save']

# === List View ===
# List container - main list/table area
divListView,.list-container
# Create new button - list view header, opens create form
btnCreateNew,a[data-action='create']
